,area_type,availability,location,size,total_sqft,bath,price,bhk,price_per_sqft
70,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
71,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257.246376811594
72,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2,4250.0
76,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1030.0,2.0,57.0,2,5533.980582524272
77,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200.0,2.0,68.0,2,5666.666666666667
78,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2,5193.27731092437
79,Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,4000.0,5.0,170.0,5,4250.0
80,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
81,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1041.0,2.0,54.0,2,5187.319884726225
82,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,812.0,2.0,42.0,2,5172.413793103448
83,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1010.0,2.0,57.0,2,5643.564356435643
84,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1450.0,2.0,73.0,3,5034.482758620689
85,Super built-up  Area,Ready To Move,5th Phase JP Nagar,7 BHK,2500.0,8.0,95.0,7,3800.0
86,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
87,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
88,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779.661016949152
89,Super built-up  Area,Ready To Move,6th Phase JP Nagar,4 BHK,3245.0,4.0,250.0,4,7704.160246533128
91,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1280.0,2.0,56.0,2,4375.0
92,Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2,5701.754385964912
93,Built-up  Area,Ready To Move,6th Phase JP Nagar,1 Bedroom,600.0,1.0,75.0,1,12500.0
94,Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2040.0,3.0,200.0,3,9803.921568627451
95,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1213.0,2.0,63.0,2,5193.734542456719
97,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1170.0,2.0,120.0,2,10256.410256410256
98,Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1216.0,2.0,60.0,2,4934.210526315789
99,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1460.0,2.0,80.0,2,5479.45205479452
100,Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2003.0,3.0,200.0,3,9985.022466300548
102,Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1810.0,3.0,131.0,3,7237.5690607734805
103,Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,750.0,1.0,105.0,1,14000.0
104,Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3,8910.89108910891
105,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
106,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1280.0,2.0,88.0,2,6875.0
107,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800.0
108,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
109,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
110,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
111,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
112,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
113,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978.723404255319
114,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
115,Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,3600.0,4.0,400.0,4,11111.111111111111
116,Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
117,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2,6761.9047619047615
118,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,2.0,46.0,2,4181.818181818182
119,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500.0
120,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450.0,2.0,100.0,3,6896.551724137931
121,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040.0,2.0,39.52,2,3800.0000000000005
122,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070.0,2.0,42.79,2,3999.0654205607475
123,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1190.0,2.0,49.98,2,4200.0
124,Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,1500.0,3.0,170.0,3,11333.333333333334
125,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760.56338028169
126,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
127,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,42.0,2,4000.0
128,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2,7040.816326530612
129,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035.0,2.0,41.39,2,3999.0338164251207
130,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1370.0,2.0,56.17,2,4100.0
131,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2,6101.6949152542375
132,Built-up  Area,Ready To Move,7th Phase JP Nagar,6 BHK,5080.0,7.0,450.0,6,8858.267716535433
137,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,3.0,115.0,3,8214.285714285714
138,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1075.0,2.0,42.99,2,3999.0697674418607
139,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,2.0,44.0,2,4000.0
140,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,83.0,2,6535.433070866142
142,Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
143,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
144,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
146,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,42.0,2,4000.0
148,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
149,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3,7567.5675675675675
152,Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,3600.0,3.0,410.0,4,11388.888888888889
153,Built-up  Area,Ready To Move,7th Phase JP Nagar,7 Bedroom,4800.0,7.0,170.0,7,3541.6666666666665
155,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3,7619.047619047619
156,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
157,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
158,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1212.0,3.0,42.0,2,3465.3465346534654
159,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.5,2,7021.276595744681
162,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1215.0,2.0,90.0,2,7407.407407407408
163,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
164,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300.0,3.0,89.13,3,6856.153846153846
165,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1130.0,2.0,73.0,2,6460.1769911504425
166,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
168,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
169,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1275.0,2.0,87.0,2,6823.529411764706
171,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
172,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2,4941.176470588235
173,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
174,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
175,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1236.0,2.0,61.33,2,4961.974110032363
176,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300.0
177,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
178,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1675.0,2.0,135.0,3,8059.701492537313
179,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
180,Super built-up  Area,19-Jan,7th Phase JP Nagar,2 BHK,1187.0,2.0,59.0,2,4970.513900589722
181,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3.0,155.0,3,8378.378378378378
182,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2,6100.0
183,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3,6849.315068493151
184,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
185,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
186,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
187,Super built-up  Area,18-Aug,7th Phase JP Nagar,2 BHK,1070.0,2.0,42.0,2,3925.233644859813
188,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944.444444444444
189,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2100.0,3.0,200.0,3,9523.809523809523
191,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
192,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040.0,2.0,41.59,2,3999.038461538462
193,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,2.0,44.0,2,4000.0
194,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1460.0,2.0,97.0,3,6643.835616438356
195,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1120.0,2.0,65.0,2,5803.571428571428
196,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,3.0,60.0,2,5454.545454545455
197,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1790.0,3.0,120.0,3,6703.91061452514
198,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
199,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.0,2,7333.333333333333
200,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1174.0,2.0,47.0,2,4003.4071550255535
201,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
202,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040.0,2.0,75.0,2,7211.538461538462
203,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
204,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1800.0,3.0,130.0,3,7222.222222222223
205,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,68.0,2,6476.190476190476
207,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0
208,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
209,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980.0,2.0,86.0,2,8775.510204081633
211,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.47,2,7378.0952380952385
212,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,2,6299.212598425197
214,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,122.0,3,7261.9047619047615
215,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070.0,2.0,42.79,2,3999.0654205607475
216,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1130.0,2.0,85.0,2,7522.123893805309
217,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,130.0,3,7738.0952380952385
220,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2980.0,4.0,260.0,3,8724.832214765102
221,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980.0,2.0,77.44,2,7902.040816326531
222,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3.0,112.0,3,6666.666666666667
224,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2095.0,3.0,150.0,3,7159.904534606205
226,Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,3200.0,4.0,350.0,4,10937.5
227,Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,1976.0,3.0,145.0,3,7338.056680161943
228,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3,6875.0
229,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3,6685.552407932011
230,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3,6901.9607843137255
231,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450.0,2.0,102.0,3,7034.482758620689
232,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
233,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
234,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2100.0,3.0,200.0,3,9523.809523809523
236,Super built-up  Area,Ready To Move,7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1,6266.666666666667
237,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2.0,42.0,2,4000.0
238,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2,5050.50505050505
239,Plot  Area,Ready To Move,7th Phase JP Nagar,1 Bedroom,1000.0,1.0,60.0,1,6000.0
241,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,2.0,44.0,2,4000.0
242,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1430.0,2.0,102.0,3,7132.867132867133
243,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1128.0,2.0,60.0,2,5319.148936170212
244,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2100.0,3.0,190.0,3,9047.619047619048
245,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1140.0,2.0,57.0,2,5000.0
246,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,3.0,90.0,3,6338.028169014085
247,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1530.0,2.0,108.0,2,7058.823529411765
248,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
249,Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629.711751662971
251,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
253,Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038.487972508591
254,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,871.0,2.0,55.0,2,6314.580941446613
255,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1098.0,2.0,43.91,2,3999.089253187614
256,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,3,4444.444444444444
257,Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,4,4814.814814814815
258,Super built-up  Area,18-Oct,8th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2,3518.5185185185187
259,Super built-up  Area,18-Jan,8th Phase JP Nagar,2 BHK,1059.0,2.0,34.5,2,3257.790368271955
260,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1080.0,2.0,35.0,2,3240.740740740741
262,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
263,Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,500.0,1.0,31.0,1,6200.0
264,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
265,Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,2100.0,4.0,92.0,4,4380.952380952381
266,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
267,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,909.0,2.0,40.9,2,4499.4499449945
268,Super built-up  Area,19-Mar,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3,5031.086273140063
269,Built-up  Area,Ready To Move,8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3,4736.8421052631575
270,Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1,6000.0
271,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1125.0,2.0,36.94,2,3283.5555555555557
272,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
273,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
275,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1504.0,2.0,83.0,3,5518.617021276596
276,Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2600.0,4.0,115.0,4,4423.076923076923
278,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
280,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1513.0,2.0,62.0,2,4097.818902842036
281,Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1298.0,2.0,59.0,2,4545.454545454545
